UTC_Timestamp,x_ecef,y_ecef,z_ecef,x_eci,y_eci,z_eci,longitude,latitude,altitude,vx_eci,vy_eci,vz_eci,hora,minuto,segundo,dia,mes,year,ADM_status,EPS_status,HEATER_status,ADCS_status,PAYLOAD_status,ADM_resetS,EPS_resetS,ADCS_resetS,ADCS_resetH,COMMS_resetH,CDHS_reset,EPS_temperature,state_charge,battery_voltage,average_current,remaining_capacity,average_power,state_health,CH1_voltage,CH1_current,CH2_voltage,CH2_current,CH3_voltage,CH3_current,ADCS_current,COMMS_current,PAYLOAD_current,HEATER_current,fault_flags,communication_flags,transmission_flags_EPS,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6,ADC2_CH1,ADC2_CH2,ADC2_CH3,ADC2_CH4,ADC2_CH5,ADC2_CH6,BNO055_temperature,ADCS_temperature1,transmission_flags_ADCS,package_counter,camera_mode,picture_counter,CDHS_CYCLE_TIME,CDHS_WDT,ADM_SOC_LIMIT,ADCS_SOC_LIMIT,COMMS_SOC_LIMIT,PLD_SOC_LIMIT,HEATER_CYCLE_TIME,HEATER_EMON_TIME,HEATER_EMOFF_TIME,ADM_CYCLE_TIME,ADM_BURN_TIME,ADM_MAX_CYCLES,ADM_WAIT_TIME1,ADM_WAIT_TIME2,ADM_ENABLE,COMMS_CYCLE_TIME,PLD_CYCLE_TIME,PLD_OP_MODE,CAM_RESOLUTION,CAM_EXPOSURE,CAM_SAVE_TIME,PLD_ENABLE
01:42:44 - 17/11/2020,-1661509.688216961,-5670256.404779853,3331655.3117778613,5390.462112793574,-2434.4822452587014,3320.9281321168723,-106.33174363268576,29.57177257514305,410.2802712625144,-0.15306296677199518,6.069009964093597,4.685584232528607,10,40,8,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.9608,-1.9608,14.5098,-70.5989,46.6758,118.3719,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,16,14,15,535,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:43:24 - 17/11/2020,-1436799.0930296094,-5620094.779481803,3515589.5281055323,5378.837285429391,-2189.3177725758733,3504.8856736211224,-104.34072404712086,31.378321249143145,410.63715518491716,-0.42807040051934736,6.187116623073094,4.510759474097042,10,40,48,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-1.1765,-0.3922,14.5098,-61.3153,40.2884,116.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,15,539,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:43:44 - 17/11/2020,-1323201.9556199338,-5591214.529862555,3604879.5852048793,5368.903181896681,-2065.027109242614,3594.1956153773663,-103.31450684079951,32.26753288673426,410.82094983852187,-0.5652988261523033,6.241409495598148,4.419861303554079,10,41,8,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-2.7451,-0.3922,14.5098,-56.3561,40.9628,117.9904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,15,541,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:44:04 - 17/11/2020,-1208844.1134736813,-5559823.782832802,3692323.724927201,5356.2276697726775,-1939.6819889252292,3681.6650746944892,-102.26661157830594,33.14668706591052,411.00767315461485,-0.7022064258858961,6.2925287687647815,4.326720658662632,10,41,28,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-4.3137,-1.1765,14.5098,-53.1426,44.2161,118.3719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,15,543,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:44:14 - 17/11/2020,-1151395.9285129367,-5543192.666116057,3735339.4890391557,5348.8639774844005,-1876.6342059304832,3724.6955408753797,-101.7342479586182,33.58232386640037,411.1019819000382,-0.7705303840253857,6.316890683180106,4.279311316375593,10,41,38,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-5.098,-1.9608,13.7255,-54.9279,48.8579,117.6089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,15,544,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:44:34 - 17/11/2020,-1035992.5645376025,-5508070.744436254,3819931.281111786,5332.089339638803,-1749.8277594045978,3809.320823117284,-100.6521026413593,34.4453714555717,411.29219138639144,-0.9068728532256778,6.3631885677238005,4.182867997439709,10,41,58,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-4.3137,-4.3137,13.7255,-55.285,51.7144,118.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,15,546,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:45:04 - 17/11/2020,-861717.4510714937,-5450776.723100109,3943138.5607883977,5301.826358767179,-1557.9636571024164,3932.5884825246403,-98.98358455714653,35.71827863734382,411.58057419293095,-1.1104703894160608,6.42650954697209,4.0342100991133165,10,42,28,19,6,0,15,83,150,83,83,0,0,0,0,0,19408,15.71,0,3.6,0.0,0.0,0.0,0,0.04,1.22,3.96,729.47,4.02,1.22,0,71,0,0,16,31,31,-1.9608,-6.6667,12.9412,-58.8159,56.7132,118.2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,15,549,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:45:24 - 17/11/2020,-744829.6078705923,-5409537.626622771,4022762.07896995,5278.26557577625,-1429.04635421683,4012.2589847642603,-97.8396603577661,36.551552915155675,411.7741677742321,-1.2454997834988841,6.4646600145135285,3.9325191797483967,10,42,48,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3922,-6.6667,12.9412,-64.5289,57.7844,117.0748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,15,551,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:45:44 - 17/11/2020,-627439.5822714752,-5365890.447954703,4100326.0838717953,5252.010504202595,-1299.3998405646087,4089.8753445343204,-96.6693732088128,37.37181426238867,411.9682672000509,-1.3799032744709636,6.499484418854658,3.828822293707375,10,43,8,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.9608,-5.8824,13.7255,-68.4169,59.53,116.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,15,553,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
01:45:54 - 17/11/2020,-568572.3834664919,-5343171.077747485,4138323.566804559,5237.876728712214,-1234.3234570442467,4127.901008277859,-96.07404612006387,37.77685874739391,412.06535670461597,-1.4468378879438342,6.5156379105123365,3.776218752264117,10,43,18,19,6,0,15,69,150,83,83,0,0,0,0,0,19408,-25.0,0,2.5,-2500.0,0.0,-8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.7451,-5.098,13.7255,-75.2407,55.9594,117.6852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,13,15,554,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
